x,y,SitesType,TrapsType
6.703176583,0.265163636,0.0,-1.0
6.703320468,0.35030868,0.0,-1.0
6.708610729,0.321385164,0.0,-1.0
6.704552364,0.276111086,0.0,-1.0
6.704748255,0.221605828,0.0,-1.0
6.709799233,0.35528205,0.0,-1.0
6.706215145,0.339844734,0.0,-1.0
6.707591941,0.380922844,0.0,-1.0
6.717392269,0.296029175,0.0,-1.0
6.708248276,0.269242679,0.0,-1.0
6.70846,0.34604,0.0,-1.0
6.709038867,0.335201999,0.0,-1.0
6.709913907,0.370074894,0.0,-1.0
6.711740534,0.377110041,0.0,-1.0
6.71251,0.32964,0.0,-1.0
6.713168213,0.38226401,0.0,-1.0
6.722970328,0.311335682,0.0,-1.0
6.714108,0.407472,0.0,-1.0
6.714588651,0.33939751,0.0,-1.0
6.715748911,0.372482105,0.0,-1.0
6.726176343,0.338444549,0.0,-1.0
6.7164,0.23707,0.0,-1.0
6.719175453,0.380364872,0.0,-1.0
6.720268759,0.327385365,0.0,-1.0
6.72148,0.25594,0.0,-1.0
6.723140169,0.356897079,0.0,-1.0
6.726015749,0.215539409,0.0,-1.0
6.72536776,0.322765213,0.0,-1.0
6.72588,0.26745,0.0,-1.0
6.72651,0.24118,0.0,-1.0
6.726613644,0.234499476,0.0,-1.0
6.739973837,0.315614107,0.0,-1.0
6.732351902,0.222008935,0.0,-1.0
6.7331,0.25031,0.0,-1.0
6.739524433,0.2594854,0.0,-1.0
6.735824028,0.241567769,0.0,-1.0
6.74489027,0.300961639,0.0,-1.0
6.739368139,0.325302184,0.0,-1.0
6.743873558,0.267591655,0.0,-1.0
6.74403,0.27838,0.0,-1.0
6.744046962,0.243801158,0.0,-1.0
6.74511,0.2957,0.0,-1.0
6.749871716,0.288304287,0.0,-1.0
6.63375,0.13091,-1.0,0.0
6.514495609,0.218425714,-1.0,0.0
6.51521,0.10229,-1.0,0.0
6.711740534,0.377110041,-1.0,0.0
6.530724406,0.028252364,-1.0,0.0
6.509126403,0.29547929,-1.0,0.0
6.72651,0.24118,-1.0,0.0
6.494855,0.127215,-1.0,0.0
6.475876316,0.217656997,-1.0,0.0
6.55287,0.05228,-1.0,0.0
6.62661,0.10631,-1.0,0.0
6.661214522,0.276888176,-1.0,0.0
6.47001,0.26751,-1.0,0.0
6.61523,0.36589,-1.0,0.0
6.69423,0.34512,-1.0,0.0
6.51963,-0.00609,-1.0,0.0
6.714108,0.407472,-1.0,0.0
